brand_name,Product_Count
WROGN,5303
"Flying Machine",5197
"United Colors of Benetton",3985
Roadster,3523
Mufti,2416
Levis,2153
SPYKAR,1247
V-Mart,1118
FUGAZEE,1019
"U.S. Polo Assn. Denim Co.",953
LINARIA,811
glitchez,809
"Pepe Jeans",751
"Calvin Klein Jeans",653
"Mast & Harbour",603
"Jack & Jones",542
HERE&NOW,527
COMFITS,489
"Being Human",466
"Louis Philippe Jeans",466
HIGHLANDER,443
"Peter England Casuals",438
"French Connection",421
Lee,416
"The Indian Garage Co",383
Snitch,362
StyleCast,338
Cantabil,324
Wrangler,319
"VAN HEUSEN DENIM LABS",301
"Tommy Hilfiger",284
"Urbano Fashion",278
WAIMEA,272
"AMERICAN EAGLE OUTFITTERS",265
"StyleCast x Revolte",264
"Campus Sutra",263
Celio,256
"SF JEANS by Pantaloons",238
"Allen Solly",230
Nautica,228
"STUDIO NEXX",228
Duke,225
"RARE RABBIT",219
"Voi Jeans",216
"Numero Uno",203
Parx,197
SZN,186
"Kook N Keech",179
FREAKINS,179
"Crimsoune Club",175
"Moda Rapido",171
Octave,167
AWACK,166
"Bene Kleed",164
"Urbano Plus",164
"Banana Club",158
SHOWOFF,157
ZAYSH,154
MaverIQ,146
"THE BEAR HOUSE",141
"Indian Terrain",133
Aeropostale,129
"HJ HASASI",129
"JADE BLUE",125
Trendyol,124
"AD By Arvind",123
"Dennis Lingo",121
"True Religion",120
"TIM PARIS",114
Greenfibre,113
Metronaut,112
Kotty,110
ComfyStyle,103
Turtle,99
"High Star",98
INDIROCKS,98
Hubberholme,94
Koton,94
TCI,91
max,90
"BEAT LONDON by PEPE JEANS",90
"John Pride",88
Basics,87
"Thomas Scott",86
Blackberrys,86
Harvard,84
"PARIS HAMILTON",83
"LOUIS STITCH",83
DENIMLOOK,81
"Jb Just BLACK",78
EVERBLUE,78
styzon,77
"Allen Solly Sport",77
"Canary London",76
fineblu,74
CLUBROCKS,72
Passion,71
"Instafab Plus",70
R&B,70
GAP,70
Styli,69
VUDU,69
"THE BEETEL HOUSE",67
"LC Waikiki",66
"Hardsoda by The Indian Garage Co",65
"YU by Pantaloons",65
ANGERHOOD,64
CINOCCI,61
"Stylecast X Kotty",60
Integriti,59
"MASTERLY WEFT",58
Playfeel,58
H&M,56
"Klub Fox",55
"The Collection",55
"RJ Denim",54
"Antony Morato",54
CAMLA,51
"RUG WOODS",51
MEGHZ,50
Rodamo,49
"Arrow Sport",49
SELECTED,47
Star4Well,47
"me Queen",46
Beyoung,45
MAAHIT,44
bigbanana,44
"R.Code by The Roadster Life Co.",44
Podge,44
"Freeform by High Star",44
ColorPlus,44
FCUK,43
RAGZO,43
DENNISON,43
Routeen,43
"Monte Carlo",43
"MASCLN SASSAFRAS",42
AFLASH,41
SHOWOFFFF,41
BEVDAAS,40
Forca,40
COSMIC,40
"MANGO MAN",40
"BUZZIC FASHION UNLIMITED",40
Bewakoof,39
Xee,39
Espanshe,39
TQS,39
DeFacto,37
"FUDE PRIDE",36
"U.S. Polo Assn.",36
"Red Tape",35
"The Souled Store",35
NEXT,35
"RIG BONE",34
Powerlook,34
"Fame Forever by Lifestyle",34
"SIMON CARTER LONDON",34
"Mr Bowerbird",33
"Park Avenue",33
"FOUL CHILD",32
People,32
GUESS,32
"Allen Cooper",31
LOCOMOTIVE,31
KAPTHE,31
GIORDANO,31
Andamen,31
ZUSH,31
"Ben Martin",31
Tailoraedge,31
AMSWAN,31
Sztori,30
"Calvin Klein",30
Woodland,30
Crocodile,30
"ROCKING SWAMY",30
"Kolor Fusion",29
Richlook,28
Ducati,26
LINDBERGH,26
"Big Hello - The Plus Life",26
"BRAVE SOUL",26
EDITLOOK,25
HARDSODA,25
GANT,25
Iconic,25
"Forca by Lifestyle",24
AVVA,24
"W.T.F - Witnessing True Fashion",23
"HOP HEAD",23
"Style Quotient",22
"Monterrey SF",22
catch,22
"Double Two",22
"FLYING SHARK",22
LIMEROAD,21
DAKWINS,21
AngelFab,21
VYNTIQ,21
Tramarossa,21
"Lawman pg3",21
ether,20
"PAUL STREET",20
Hence,19
"Blue Buddha",19
"The Pant Project",19
Oxemberg,19
CANOE,19
Chennis,18
"Marks & Spencer",18
"Arrow New York",18
Plounge,17
"FOREVER 21",17
"PENTHOUSES 4446",17
"MARVEL STREET",16
"London Hills",16
Rend,16
COBB,16
"Van Heusen",16
boohooMAN,16
UNSTD,15
MMXXII,15
LOVEGEN,15
MYLANA,14
FUBAR,14
"SOKO STREET",14
"Club York",14
KETCH,14
MM-21,13
Belliskey,13
Bushirt,13
beevee,13
"Code 61",13
SIX5SIX,13
"7 For All Mankind",13
UNSIZED,13
"Status Quo",13
"Llak Jeans",13
"mode de base",13
"THIRD QUADRANT",12
Globus,12
Raymond,12
"Jacob Cohen",12
"DRAGON HILL",12
TNG,12
"PLUS 91",11
"Turning Blue",11
HangerLoop,11
"Markle Moro",11
VOLTEDGE,11
BAESD,11
"Minus One",11
"THREE DAYS",11
nostrum,11
"CAVALLO by Linen Club",11
KULTPRIT,11
IMPACKT,11
"MERCHANT MARINE",10
"BuaGi Collection",10
DAGERRFLY,10
Rigo,10
Dais,10
"Peter England",10
BLUEBIRD,10
"Polo Ralph Lauren",10
TURMS,9
Berkshire,9
"Royal Enfield",9
Bluejam,9
"BUNCH OF BAD",9
"Classic Polo",9
"Underrated Club",9
"ARBIA FUNKI",9
ASHTOM,8
Moudlin,8
ADBUCKS,8
ALTIVA,8
VOGAAN,8
YOUTHIX,8
"Versace Jeans Couture",8
BOYCOTT,8
"Beverly Hills Polo Club",8
"COLOR HUNT",7
L'monte,7
"Grit and Flair",7
Sizeupp,7
"CS LIFE",6
MANTICORE,6
"JIMMY & JORDAN",6
DILLINGER,6
"Reid & Taylor",6
IZOD,6
"Melvin Jones",6
ALCOTT,6
Toomes,6
"HACKETT LONDON",6
"American Archer",6
RusticBlooms,5
"VESTIDO MODAS",5
"STEPLE DENIMS",5
Maniac,5
HAUWER,5
IVOC,5
"Off Duty India",5
"Kailash art and creation",5
VALKYRE,5
Petrol,5
Santonio,5
"TRAVIS MATHEW",5
"TBS- THE BARGAIN STREET",5
Bossini,4
ODCC,4
BOTABOCHI,4
POMPOUS,4
XABIRI,4
KPOP,4
Eszett,4
Xmex,4
"Urban Monkey",4
MAD-O-WHAT,4
"URA STREET",4
Burton,4
"Van Heusen ACADEMY",4
SINGLE,4
"Bewakoof Plus",4
"MR BUTTON",4
ANTHEM,4
NoBiY,4
MIRAAN,3
"M&H Our Water",3
INVICTUS,3
"PASSPORT JEANS",3
"RIGS AND RAGS",3
"MARK VIEW",3
"Global Republic",3
7OUNCE,3
Hancock,3
"British Club",3
MONTREZ,3
"the Misnomer",3
HUEMN,3
FIBONACCI,3
Matinique,3
"JUMP USA",3
"ALTINYILDIZ CLASSICS AC Co.",3
"Peter England Better Jeans Company",3
"John Players",3
"BIG HELLO",3
"ZALORA BASICS",3
"The Dance Bible",2
PRONK,2
"Red Chief",2
Veltick,2
VOOTER,2
USMC,2
"House of Koala",2
TRACKnJEANS,2
FABRIPPLE,2
"ADIDAS Originals",2
FTX,2
ARISTOBRAT,2
Votico,2
"YASA CREATION",2
"Ishika Creation",2
KIABI,2
prochain,2
"Karl Lagerfeld",2
"Difference of Opinion",2
"Toodle Plus",2
"Albion By CnM",2
Splash,2
"KZ07 By Kazo",2
BREXX,2
"FORCE IX",2
Killer,2
ESPRIT,2
"Peregrine by Pantaloons",1
"Cloak & Decker by Monte Carlo",1
MOZZO,1
NUEVOSDAMAS,1
"Colors and Blends",1
Nike,1
Breakbounce,1
REGY,1
"Just Cavalli",1
"LEG UP",1
FiftyEight,1
GAUDDLY,1
BAWSE.,1
DRAGAON,1
Veny,1
"BOMBAY TROOPER",1
ARTLESS,1
"Pupil London",1
"UNITED DENIM",1
GUTI,1
Happy2r,1
INKD,1
"Bruun & Stengade",1
"Nature Casuals",1
RDSTR,1
"Chapter 2",1
Colt,1
"SACHIVA FASHION",1
VEIRDO,1
Cherokee,1
Slub,1
Sparky,1
"KINGDOM OF WHITE",1
Ashtag,1
"HUE & HIDE",1
SEMIR,1
FirstKrush,1
"RUF & TUF",1
"Ed Hardy",1
